"Ontology","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","1","GO:0032611","interleukin-1 beta production","6/73","71/13552",2.15277545008777e-06,0.00213255805352008,0.00183713107067959,"CX3CR1/TREM2/CCL3/TMEM106A/CD33/LILRA2",6
"BP","1","GO:0050865","regulation of cell activation","12/73","428/13552",2.70950614489216e-06,0.00213255805352008,0.00183713107067959,"PTAFR/CD84/GATA2/TREM2/SPN/PIK3R6/CCL3/CD300LF/SOCS6/IL12RB1/CEBPA/LILRA2",12
"BP","1","GO:0032612","interleukin-1 production","6/73","78/13552",3.74790519072071e-06,0.00213255805352008,0.00183713107067959,"CX3CR1/TREM2/CCL3/TMEM106A/CD33/LILRA2",6
"BP","1","GO:0002694","regulation of leukocyte activation","11/73","395/13552",7.8753199408925e-06,0.00282011939120047,0.00242944333827093,"PTAFR/CD84/GATA2/TREM2/SPN/PIK3R6/CCL3/CD300LF/SOCS6/IL12RB1/CEBPA",11
"BP","1","GO:0002521","leukocyte differentiation","11/73","397/13552",8.26045515875942e-06,0.00282011939120047,0.00242944333827093,"TAL1/GATA2/TREM2/HHEX/SPN/PIK3R6/CCL3/LYL1/IL12RB1/CEBPA/DOCK11",11
"BP","1","GO:1903977","positive regulation of glial cell migration","3/73","10/13552",1.75140044948919e-05,0.00498273427879675,0.00429246741743228,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0032651","regulation of interleukin-1 beta production","5/73","63/13552",2.17591130246214e-05,0.00530611513328982,0.00457104975870618,"CX3CR1/TREM2/CCL3/CD33/LILRA2",5
"BP","1","GO:0002687","positive regulation of leukocyte migration","6/73","110/13552",2.72896890417184e-05,0.00582293739927666,0.00501627573569481,"PTAFR/CX3CR1/TREM2/SPN/CCL3/EDN3",6
"BP","1","GO:0032652","regulation of interleukin-1 production","5/73","69/13552",3.3929973935153e-05,0.00643538505636736,0.00554387995174371,"CX3CR1/TREM2/CCL3/CD33/LILRA2",5
"MF","1","GO:0046935","1-phosphatidylinositol-3-kinase regulator activity","3/78","12/13926",3.5861323541127e-05,0.00824810441445922,0.00747425480120332,"PIK3R6/PIK3R5/SOCS6",3
"MF","-1","GO:0070888","E-box binding","3/27","38/13926",5.24051353402383e-05,0.00534532380470431,0.00424757412757721,"CIART/PER1/NR1D1",3
"BP","1","GO:0042116","macrophage activation","5/73","76/13552",5.41707229728353e-05,0.00924694241146299,0.00796594736768958,"TREM2/CCL3/TMEM106A/CEBPA/TLR7",5
"BP","1","GO:1903975","regulation of glial cell migration","3/73","15/13552",6.51329144346191e-05,0.00938273361524023,0.00808292717941023,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0009617","response to bacterium","10/73","412/13552",6.78769506994033e-05,0.00938273361524023,0.00808292717941023,"PTAFR/GBP4/HMCN1/CX3CR1/TREM2/MPEG1/SPN/IRF8/CCL3/LILRA2",10
"BP","1","GO:0050867","positive regulation of cell activation","8/73","258/13552",7.14560849432472e-05,0.00938273361524023,0.00808292717941023,"PTAFR/GATA2/TREM2/PIK3R6/CCL3/IL12RB1/CEBPA/LILRA2",8
"BP","1","GO:0060216","definitive hemopoiesis","3/73","16/13552",7.98537199739452e-05,0.00973644999968031,0.00838764261681214,"TAL1/GATA2/LYL1",3
"MF","1","GO:0035014","phosphatidylinositol 3-kinase regulator activity","3/78","16/13926",8.98204003676844e-05,0.0103293460422837,0.00936023119621132,"PIK3R6/PIK3R5/SOCS6",3
"BP","1","GO:0071346","cellular response to interferon-gamma","6/73","137/13552",9.34019598596663e-05,0.0104211520013166,0.0089774916571636,"PTAFR/GBP4/OAS1/IRF8/CCL3/IL12RB1",6
